,SHAP (RF),SHAP (XGBoost),Permutation,LIME,Surrogate Tree,Consensus Score
Bili_AST_Interaction,0.8087802200697569,0.8617903,0.44582427602221364,0.44562659408460253,0.9999999977454842,0.7124042774675292
Albumin_Protein_Ratio,0.7065329449538887,1.0,0.9999999772484779,0.30322511994293144,0.18900157887690522,0.6397519242044407
ALT_Albumin_Ratio,0.6983271538811159,0.6288899,0.5996826423571584,0.6690371458094634,0.25417084218541514,0.5700215405120967
Bilirubin_Protein,0.7193763712218071,0.73305064,0.5827109330766576,0.6225488369013343,0.08309711022575982,0.5481567791646589
Enzyme_Load,0.9999999675837968,0.6293319,0.27482131789398023,0.6463845627146061,0.03898320419950783,0.5179041878320465
Direct_Bilirubin_log,0.5414776531917955,0.5528029,0.3933628510868428,0.999999971906634,0.04770727771328425,0.5070701348480097
Alkaline_Phosphotase_log,0.24499658120948997,0.533618,0.5643153256647243,0.2856580777071381,0.14624248090570652,0.35496608776293914
AST_ALT_Ratio,0.09631563497896657,0.5119514,0.6436189126245483,0.0,0.25619751839079047,0.30161669058457274
Alkaline_Phosphotase,0.27898356278015185,0.057642862,0.44349986856587564,0.43315508830541904,0.10641719342551682,0.2639397150555401
Aspartate_Aminotransferase,0.043057866244711,0.36752558,0.46971453393883744,0.10567799594377737,0.0587106186183815,0.20893731845817465
Alamine_Aminotransferase_log,0.07441249248235021,0.47741014,0.3631645339331575,0.10337302978541395,0.0,0.20367203877085446
Total_Bilirubin,0.3684896694924167,0.25858703,0.0,0.13321267828264793,0.0,0.15205787606631968
Aspartate_Aminotransferase_log,0.0,0.0,0.6114777128669849,0.015973631159733347,0.0739879469436994,0.14028785819408354
Alamine_Aminotransferase,0.04837881480451481,0.030438386,0.3115210821775442,0.25814751378688805,0.0,0.12969715933455647
