Feature,LIME_Mean_AbsCoef,LIME_Std_AbsCoef,LIME_Signed_Mean
Direct_Bilirubin_log,0.043453350063154685,0.023628493769210925,0.0032151677718384028
ALT_Albumin_Ratio,0.03167253224779069,0.0216317495905129,0.005756212046153573
Enzyme_Load,0.030866200136009783,0.01630158757412641,0.005617637650871653
Bilirubin_Protein,0.03001775335842311,0.017288968969539496,0.006175430483340724
Bili_AST_Interaction,0.02372010133904628,0.009422227994325625,0.004775027251495622
Alkaline_Phosphotase,0.023276170704296738,0.00850343238670415,0.0034680978005242526
Albumin_Protein_Ratio,0.01865123652638678,0.009869501732148123,0.0031258157357465016
Alkaline_Phosphotase_log,0.01802592725351417,0.009609327904819063,0.0030588818572406373
Alamine_Aminotransferase,0.017046672437001222,0.009600109056550935,0.002263770309711014
Total_Bilirubin,0.012599542971664254,0.008556906110670852,0.0028352870830573194
Aspartate_Aminotransferase,0.011619429645755814,0.005754457083307632,0.0021675246874829496
Alamine_Aminotransferase_log,0.011537383010179024,0.008025968260205527,0.0017316884582902346
Aspartate_Aminotransferase_log,0.008426349651770318,0.005908391838232581,0.0014189217461948649
AST_ALT_Ratio,0.007857758789884851,0.006095697357046542,0.0008190825402330526
