,Avg_ROC_AUC_Drop
Albumin_Protein_Ratio,0.0599228486763532
AST_ALT_Ratio,0.04425879493369673
Aspartate_Aminotransferase_log,0.042846089461010615
ALT_Albumin_Ratio,0.04232765950862436
Bilirubin_Protein,0.04158170021767539
Alkaline_Phosphotase_log,0.04077315618508656
Aspartate_Aminotransferase,0.03661515781540369
Bili_AST_Interaction,0.035565106841660706
Alkaline_Phosphotase,0.0354629419206531
Direct_Bilirubin_log,0.03325926441293586
Alamine_Aminotransferase_log,0.03193195466001093
Alamine_Aminotransferase,0.029662064690941303
Enzyme_Load,0.028048996160807138
Total_Bilirubin,0.01596974639016729
