,Feature,RF Mean |SHAP|,XGB Mean |SHAP|,Average |SHAP|
1,Albumin_Protein_Ratio,0.045208955716849006,0.74293363,0.3940712933300737
2,Bili_AST_Interaction,0.048363158397889836,0.6520527,0.3502079294587258
3,Bilirubin_Protein,0.04560515962078787,0.56739885,0.3065020028851162
4,Enzyme_Load,0.054262052423116824,0.4991977,0.2767298720510588
5,ALT_Albumin_Ratio,0.04495581715474581,0.4989071,0.27193145319407214
6,Direct_Bilirubin_log,0.04011720297130152,0.4488754,0.24449630020753643
7,Alkaline_Phosphotase_log,0.03097112654956111,0.43626022,0.2336156749691165
8,AST_ALT_Ratio,0.02638450222447704,0.42201313,0.224198817994372
9,Alamine_Aminotransferase_log,0.02570881721763694,0.39930025,0.21250453232421918
10,Aspartate_Aminotransferase,0.0247415655619843,0.32704476,0.17589316039119876
11,Total_Bilirubin,0.03478073643608969,0.2554113,0.14509601675949535
12,Alkaline_Phosphotase,0.03201958312964292,0.12327878,0.07764918245065139
13,Alamine_Aminotransferase,0.024905710280696797,0.10539025,0.0651479804817638
14,Aspartate_Aminotransferase_log,0.023413283346198507,0.085375234,0.05439425891543553
